,Brain Weight,Body Weight
0,3.385,44.5
1,0.48,15.5
2,1.35,8.1
3,465.0,423.0
4,36.33,119.5
5,27.66,115.0
6,14.83,98.2
7,1.04,5.5
8,4.19,58.0
9,0.425,6.4
10,0.101,4.0
11,0.92,5.7
12,1.0,6.6
13,0.005,0.14
14,0.06,1.0
15,3.5,10.8
16,2.0,12.3
17,1.7,6.3
18,2547.0,4603.0
19,0.023,0.3
20,187.1,419.0
21,521.0,655.0
22,0.785,3.5
23,10.0,115.0
24,3.3,25.6
25,0.2,5.0
26,1.41,17.5
27,529.0,680.0
28,207.0,406.0
29,85.0,325.0
30,0.75,12.3
31,62.0,1320.0
32,6654.0,5712.0
33,3.5,3.9
34,6.8,179.0
35,35.0,56.0
36,4.05,17.0
37,0.12,1.0
38,0.023,0.4
39,0.01,0.25
40,1.4,12.5
41,250.0,490.0
42,2.5,12.1
43,55.5,175.0
44,100.0,157.0
45,52.16,440.0
46,10.55,179.5
47,0.55,2.4
48,60.0,81.0
49,3.6,21.0
50,4.288,39.2
51,0.28,1.9
52,0.075,1.2
53,0.122,3.0
54,0.048,0.33
55,192.0,180.0
56,3.0,25.0
57,160.0,169.0
58,0.9,2.6
59,1.62,11.4
60,0.104,2.5
61,4.235,50.4
